Total cycle count,Time,Extension,Load
,(s),(mm),(N)
"0.50000","1.01000","1.46208","29.52112"
"0.50000","1.01500","1.43707","28.60736"
"0.50000","1.02000","1.41207","27.71482"
"0.50000","1.02500","1.38706","26.83442"
"0.50000","1.03000","1.36205","25.98261"
"0.50000","1.03500","1.33705","25.13603"
"0.50000","1.04000","1.31206","24.29623"
"0.50000","1.04500","1.28706","23.46611"
"0.50000","1.05000","1.26205","22.63298"
"0.50000","1.05500","1.23704","21.81419"
"0.50000","1.06000","1.21202","21.00795"
"0.50000","1.06500","1.18700","20.20867"
"0.50000","1.07000","1.16199","19.42181"
"0.50000","1.07500","1.13699","18.63903"
"0.50000","1.08000","1.11199","17.87339"
"0.50000","1.08500","1.08700","17.11531"
"0.50000","1.09000","1.06200","16.36911"
"0.50000","1.09500","1.03701","15.65758"
"0.50000","1.10000","1.01202","14.96354"
"0.50000","1.10500","0.98703","14.28616"
"0.50000","1.11000","0.96204","13.61599"
"0.50000","1.11500","0.93707","12.94949"
"0.50000","1.12000","0.91209","12.28331"
"0.50000","1.12500","0.88711","11.60737"
"0.50000","1.13000","0.86210","10.93955"
"0.50000","1.13500","0.83708","10.26962"
"0.50000","1.14000","0.81206","9.59896"
"0.50000","1.14500","0.78703","8.93459"
"0.50000","1.15000","0.76201","8.26636"
"0.50000","1.15500","0.73699","7.61231"
"0.50000","1.16000","0.71197","6.96554"
"0.50000","1.16500","0.68696","6.32677"
"0.50000","1.17000","0.66195","5.70941"
"0.50000","1.17500","0.63695","5.09484"
"0.50000","1.18000","0.61195","4.50001"
"0.50000","1.18500","0.58697","3.90898"
"0.50000","1.19000","0.56200","3.32171"
"0.50000","1.19500","0.53702","2.74148"
"0.50000","1.20000","0.51204","2.15506"
"0.50000","1.20500","0.48706","1.58175"
"0.50000","1.21000","0.46208","1.01243"
"0.50000","1.21500","0.43709","0.44582"
"0.50000","1.22000","0.41211","-0.10395"
"0.50000","1.22500","0.38713","-0.64543"
"0.50000","1.23000","0.36215","-1.15199"
"0.50000","1.23500","0.33715","-1.63890"
"0.50000","1.24000","0.31213","-2.09535"
"0.50000","1.24500","0.28709","-2.52101"
"0.50000","1.25000","0.26204","-2.92245"
"0.50000","1.25500","0.23699","-3.28762"
"0.50000","1.26000","0.21194","-3.63431"
"0.50000","1.26500","0.18690","-3.94965"
"0.50000","1.27000","0.16187","-4.24082"
"0.50000","1.27500","0.13685","-4.51488"
"0.50000","1.28000","0.11183","-4.75882"
"0.50000","1.28500","0.08682","-4.98133"
"0.50000","1.29000","0.06183","-5.17986"
"0.50000","1.29500","0.03685","-5.35215"
"0.50000","1.30000","0.01189","-5.51051"
"1.00000","1.30300","-0.00307","-5.58996"
"1.00000","1.30400","-0.00806","-5.61528"
"1.00000","1.30900","-0.03300","-5.74118"
"1.00000","1.31400","-0.05784","-5.77899"
"1.00000","1.31900","-0.08192","-5.60036"
"1.00000","1.32400","-0.10371","-5.30465"
"1.00000","1.32900","-0.12116","-4.91453"
"1.00000","1.33400","-0.13238","-4.58573"
"1.00000","1.33900","-0.13642","-4.47905"
"1.00000","1.34400","-0.13363","-4.45268"
"1.00000","1.34900","-0.12505","-4.43704"
"1.00000","1.35400","-0.11189","-4.35842"
"1.00000","1.35900","-0.09521","-4.22122"
"1.00000","1.36400","-0.07579","-4.02641"
"1.00000","1.36900","-0.05423","-3.76671"
"1.00000","1.37400","-0.03097","-3.45337"
"1.00000","1.37900","-0.00637","-3.06376"
"1.00000","1.38400","0.01922","-2.62757"
"1.00000","1.38900","0.04553","-2.14133"
"1.00000","1.39400","0.07229","-1.61960"
"1.00000","1.39900","0.09927","-1.07330"
"1.00000","1.40400","0.12629","-0.47453"
"1.00000","1.40900","0.15319","0.17746"
